org_id,industry,financial_needs,preferences,revenue,no_of_employees
org_063,Medical Devices,"R&D funding, working capital, expansion loans","innovation, global health, sustainability",800M-1B,5000-6000
org_064,Pharmaceutical Manufacturing,"R&D funding, working capital, expansion loans","biotech innovation, global health, sustainability",2B-2.5B,15000-20000
org_065,Food Processing,"working capital, equipment financing, expansion loans","sustainable sourcing, automation, global trade",1B-1.5B,6000-7000
org_066,Textile Manufacturing,"working capital, equipment financing, expansion loans","sustainable fabrics, global trade, innovation",500M-600M,3000-3500
org_067,Chemical Manufacturing,"working capital, R&D funding, expansion loans","green chemistry, sustainability, global trade",1B-1.5B,8000-10000
org_068,Metal Manufacturing,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",1.5B-2B,10000-12000
org_069,Plastics Manufacturing,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",800M-1B,5000-6000
org_070,Paper Manufacturing,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",500M-600M,3000-3500
org_071,Glass Manufacturing,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",400M-500M,2000-2500
org_072,Ceramics Manufacturing,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",300M-400M,1500-2000
org_073,Wood Manufacturing,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",200M-300M,1000-1500
org_074,Rubber Manufacturing,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",100M-150M,500-800
org_075,Leather Manufacturing,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",50M-100M,200-500
org_076,Plumbing,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",100M-150M,500-800
org_077,Electrical,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",200M-300M,1000-1500
org_078,Mechanical,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",300M-400M,1500-2000
org_079,Civil Engineering,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",400M-500M,2000-2500
org_080,Architecture,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",500M-600M,3000-3500
org_081,Interior Design,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",600M-700M,4000-4500
org_082,Landscaping,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",700M-800M,5000-5500
org_083,Urban Planning,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",800M-900M,6000-6500
org_084,Environmental Consulting,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",900M-1B,7000-7500
org_085,Energy Consulting,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",1B-1.5B,8000-8500
org_086,Management Consulting,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",1.5B-2B,9000-9500
org_087,Financial Consulting,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",2B-2.5B,10000-10500
org_088,Legal Consulting,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",2.5B-3B,11000-11500
org_089,IT Consulting,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",3B-3.5B,12000-12500
org_090,HR Consulting,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",3.5B-4B,13000-13500
org_091,Marketing Consulting,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",4B-4.5B,14000-14500
org_092,PR Consulting,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",4.5B-5B,15000-15500
org_093,Advertising,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",5B-5.5B,16000-16500
org_094,Media,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",5.5B-6B,17000-17500
org_095,Publishing,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",6B-6.5B,18000-18500
org_096,Broadcasting,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",6.5B-7B,19000-19500
org_097,Film Production,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",7B-7.5B,20000-20500
org_098,Music Production,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",7.5B-8B,21000-21500
org_099,Event Production,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",8B-8.5B,22000-22500
org_100,Sports Management,"working capital, equipment financing, expansion loans","sustainable materials, global trade, innovation",8.5B-9B,23000-23500
